assembly,Family,Strain,lane_id,Designation,Designation.source,O,H,ST131.clade,count
21127_4_22_clean_Escherichia_coli-SC201_ST543_contigs,A00570,SC201_ST543,21127_4_22,Untypeable,Both,O169,H9,,1
21127_4_20_clean_Escherichia_coli-SC9_ST12_contigs,A00574,SC9_ST12,21127_4_20,KL26_K3,>5000bp,O4,H5,,1
21127_5_5_clean_Escherichia_coli-SC4_ST10_contigs,A00576,SC4_ST10,21127_5_5,Untypeable,Both,O16,H9,,1
21242_75_clean_Escherichia_coli-SC147_ST2178_contigs,A00908,SC147_ST2178,21242_75,Untypeable,Both,O15/O74,H15,,1
21242_75_clean_Escherichia_coli-SC28_ST101_contigs,A00908,SC28_ST101,21242_75,Untypeable,Both,O15/O74,H15,,1
21242_75_clean_Escherichia_coli-SC55_ST906_contigs,A00908,SC55_ST906,21242_75,Untypeable,Both,O15/O74,H15,,1
21242_75_clean_Escherichia_coli-SC65_ST399_contigs,A00908,SC65_ST399,21242_75,Untypeable,Both,O15/O74,H15,,1
21242_75_clean_Escherichia_coli-SC69_ST349_contigs,A00908,SC69_ST349,21242_75,KL40_K15,>5000bp,O15/O74,H15,,1
21242_75_clean_Escherichia_coli-SC73_ST156_contigs,A00908,SC73_ST156,21242_75,Untypeable,Both,O15/O74,H15,,1
21242_75_clean_Escherichia_coli-SC99_ST1727_contigs,A00908,SC99_ST1727,21242_75,Untypeable,Both,O15/O74,H15,,1
21127_5_12_clean_Escherichia_coli-SC214_ST5148_contigs,A00940,SC214_ST5148,21127_5_12,KL16_K14,>5000bp,O22-like,Hneg,,1
21127_5_12_clean_Escherichia_coli-SC38_ST62_contigs,A00940,SC38_ST62,21127_5_12,KL8A1_K1,>5000bp,O22-like,Hneg,,1
21127_5_12_clean_Escherichia_coli-SC4_ST10_contigs,A00940,SC4_ST10,21127_5_12,Untypeable,Both,O22-like,Hneg,,1
21127_5_20_clean_Escherichia_coli-SC60_ST420_contigs,A00942,SC60_ST420,21127_5_20,KL8A1_K1,>5000bp,O134,H31,,1
21127_5_4_clean_Escherichia_coli-SC65_ST399_contigs,A00947,SC65_ST399,21127_5_4,Untypeable,Both,Oneg,H30,,1
21127_5_9_clean_Escherichia_coli-SC20_ST59_contigs,A00995,SC20_ST59,21127_5_9,KL8A1_K1,>5000bp,O1,H7,,1
24469_4_1_clean_Escherichia_coli-SC11_ST127_contigs,A01015,SC11_ST127,24469_4_1,KL114_K2-like,>5000bp,Oneg,H31,,1
24469_1_4_clean_Escherichia_coli-SC123_ST1308_contigs,A01015,SC123_ST1308,24469_1_4,Untypeable,Both,Oneg,Hneg,,1
24469_4_1_clean_Escherichia_coli-SC165_ST1643_contigs,A01015,SC165_ST1643,24469_4_1,Untypeable,Both,Oneg,H31,,1
24469_1_4_clean_Escherichia_coli-SC28_ST101_contigs,A01015,SC28_ST101,24469_1_4,Untypeable,Both,Oneg,Hneg,,1
24469_1_4_clean_Escherichia_coli-SC34_ST641_contigs,A01015,SC34_ST641,24469_1_4,Untypeable,Both,Oneg,Hneg,,1
37081_1_21_clean_Escherichia_coli-SC12_ST410_contigs,A01043,SC12_ST410,37081_1_21,Untypeable,Both,O78,H4,,1
21242_84_clean_Escherichia_coli-SC28_ST101_contigs,A01057,SC28_ST101,21242_84,Untypeable,Both,O100,H21,,1
21242_43_clean_Escherichia_coli-SC187_ST1674_contigs,A01082,SC187_ST1674,21242_43,KL189_K52-like,>5000bp,O11,H25,,1
21242_19_clean_Escherichia_coli-SC4_ST10_contigs,A01107,SC4_ST10,21242_19,KL82_K1-K92-like,<5000bp,Oneg,H4,,1
24211_7_12_clean_Escherichia_coli-SC65_ST399_contigs,A01162,SC65_ST399,24211_7_12,Untypeable,Both,O129,H30,,1
25076_5_21_clean_Escherichia_coli-SC109_ST327_contigs,A01166,SC109_ST327,25076_5_21,Untypeable,Both,O66,H8,,1
21242_25_clean_Escherichia_coli-SC11_ST127_contigs,A01166,SC11_ST127,21242_25,KL137_K14-like,>5000bp,O6,H31,,1
25076_5_21_clean_Escherichia_coli-SC8_ST1193_contigs,A01166,SC8_ST1193,25076_5_21,KL31_K74,>5000bp,O66,H8,,1
24211_7_3_clean_Escherichia_coli-SC4_ST10_contigs,A01173,SC4_ST10,24211_7_3,KL8A1_K1,<5000bp,Oneg,Hneg,,1
21242_13_clean_Escherichia_coli-SC58_ST2773_contigs,A01173,SC58_ST2773,21242_13,Untypeable,Both,O168,H7,,1
21673_12_clean_Escherichia_coli-SC8_ST1193_contigs,A01301,SC8_ST1193,21673_12,KL2_K100,>5000bp,Oneg,H5,,1
24759_5_10_clean_Escherichia_coli-SC250_ST2474_contigs,A01303,SC250_ST2474,24759_5_10,Untypeable,Both,O174/O174-like,Hneg,,1
37081_2_16_clean_Escherichia_coli-SC2_ST131_contigs,A01308,SC2_ST131,37081_2_16,KL6_K5,>5000bp,O25,H4,C1,1
37081_2_31_clean_Escherichia_coli-SC30_ST372_contigs,A01401,SC30_ST372,37081_2_31,KL14_K24,>5000bp,O18,H31,,1
24469_5_22_clean_Escherichia_coli-SC91_ST345_contigs,A01506,SC91_ST345,24469_5_22,Untypeable,Both,O8,H21,,1
24211_7_16_clean_Escherichia_coli-SC69_ST349_contigs,A01507,SC69_ST349,24211_7_16,KL40_K15,>5000bp,O166,H15,,1
21842_1_7_clean_Escherichia_coli-SC12_ST410_contigs,A01516,SC12_ST410,21842_1_7,Untypeable,Both,O9/O9-like,H19,,1
24469_1_6_clean_Escherichia_coli-SC44_ST200_contigs,A01517,SC44_ST200,24469_1_6,Untypeable,Both,O109,H21,,1
21842_1_10_clean_Escherichia_coli-SC105_ST636_contigs,A01524,SC105_ST636,21842_1_10,KL71,>5000bp,O9/O83,H6,,1
21842_1_13_clean_Escherichia_coli-SC6_ST69_contigs,A01563,SC6_ST69,21842_1_13,KL36_K54-K96,>5000bp,O15,H18,,1
21842_1_16_clean_Escherichia_coli-SC25_ST517_contigs,A01569,SC25_ST517,21842_1_16,Untypeable,Both,O27,Hneg,,1
21842_1_16_clean_Escherichia_coli-SC4_ST10_contigs,A01569,SC4_ST10,21842_1_16,Untypeable,Both,O27,Hneg,,1
21842_1_16_clean_Escherichia_coli-SC88_ST57_contigs,A01569,SC88_ST57,21842_1_16,Untypeable,Both,O27,Hneg,,1
21842_1_16_clean_Escherichia_coli-SC99_ST1727_contigs,A01569,SC99_ST1727,21842_1_16,Untypeable,Both,O27,Hneg,,1
24211_7_19_clean_Escherichia_coli-SC17_ST58_contigs,A01580,SC17_ST58,24211_7_19,Untypeable,Both,O153-like,Hneg,,1
24211_7_19_clean_Escherichia_coli-SC70_ST607_contigs,A01580,SC70_ST607,24211_7_19,Untypeable,Both,O153-like,Hneg,,1
24469_1_2_clean_Escherichia_coli-SC222_ST337_contigs,A01582,SC222_ST337,24469_1_2,Untypeable,Both,O108,H21,,1
24211_7_7_clean_Escherichia_coli-SC79_ST978_contigs,A01583,SC79_ST978,24211_7_7,KL47_K16,>5000bp,O18,H7,,1
21842_2_3_clean_Escherichia_coli-SC3_ST73_contigs,A01639,SC3_ST73,21842_2_3,KL21_K13-K23,<5000bp,O22,H1,,1
25076_3_10_clean_Escherichia_coli-SC107_ST589_contigs,A01646,SC107_ST589,25076_3_10,Untypeable,Both,O51,H49,,1
24211_3_9_clean_Escherichia_coli-SC11_ST127_contigs,A01647,SC11_ST127,24211_3_9,KL137_K14-like,>5000bp,O6,H31,,1
21940_3_24_clean_Escherichia_coli-SC65_ST399_contigs,A01653,SC65_ST399,21940_3_24,Untypeable,Both,O11,H25,,1
24469_1_7_clean_Escherichia_coli-SC5_ST95_contigs,A01674,SC5_ST95,24469_1_7,KL8A1_K1,>5000bp,O1,H7,,1
21940_3_17_clean_Escherichia_coli-SC6_ST69_contigs,A01676,SC6_ST69,21940_3_17,KL36_K54-K96,>5000bp,O15,H18,,1
21940_3_15_clean_Escherichia_coli-SC2_ST131_contigs,A01678,SC2_ST131,21940_3_15,KL103_K100-like,>5000bp,O16,H5,A,1
25076_6_6_clean_Escherichia_coli-SC69_ST349_contigs,A01685,SC69_ST349,25076_6_6,KL8A2_K92,>5000bp,O166,Hneg,,1
24759_5_11_clean_Escherichia_coli-SC4_ST10_contigs,A01687,SC4_ST10,24759_5_11,Untypeable,Both,Oneg,H40,,1
24211_7_8_clean_Escherichia_coli-SC176_ST603_contigs,A01739,SC176_ST603,24211_7_8,Untypeable,Both,Oneg,H16,,1
24211_7_8_clean_Escherichia_coli-SC46_ST746_contigs,A01739,SC46_ST746,24211_7_8,Untypeable,Both,Oneg,H16,,1
24211_7_8_clean_Escherichia_coli-SC4_ST10_contigs,A01739,SC4_ST10,24211_7_8,Untypeable,Both,Oneg,H16,,1
21989_6_4_clean_Escherichia_coli-SC70_ST607_contigs,A01739,SC70_ST607,21989_6_4,Untypeable,Both,O21,H25,,1
21842_2_8_clean_Escherichia_coli-SC17_ST58_contigs,A01761,SC17_ST58,21842_2_8,Untypeable,Both,O28ac,H25,,1
24469_5_20_clean_Escherichia_coli-SC65_ST399_contigs,A01761,SC65_ST399,24469_5_20,Untypeable,Both,O21,H25,,1
24469_5_20_clean_Escherichia_coli-SC70_ST607_contigs,A01761,SC70_ST607,24469_5_20,Untypeable,Both,O21,H25,,1
24211_7_11_clean_Escherichia_coli-SC281_ST1670_contigs,A01763,SC281_ST1670,24211_7_11,KL23,>5000bp,O23,H45,,1
21842_2_10_clean_Escherichia_coli-SC4_ST10_contigs,A01763,SC4_ST10,21842_2_10,Untypeable,Both,Oneg,H9,,1
24759_5_12_clean_Escherichia_coli-SC216_ST654_contigs,A01802,SC216_ST654,24759_5_12,Untypeable,Both,O8,H16,,1
21989_6_9_clean_Escherichia_coli-SC9_ST12_contigs,A01802,SC9_ST12,21989_6_9,KL26_K3,>5000bp,O4,H5,,1
24469_5_21_clean_Escherichia_coli-SC147_ST2178_contigs,A01803,SC147_ST2178,24469_5_21,Untypeable,Both,O110,H28,,1
24469_5_21_clean_Escherichia_coli-SC34_ST641_contigs,A01803,SC34_ST641,24469_5_21,Untypeable,Both,O110,H28,,1
24469_4_22_clean_Escherichia_coli-SC69_ST349_contigs,A01803,SC69_ST349,24469_4_22,KL22,>5000bp,O110,H28,,1
24211_3_23_clean_Escherichia_coli-SC73_ST156_contigs,A01803,SC73_ST156,24211_3_23,Untypeable,Both,O110,H28,,1
24211_7_5_clean_Escherichia_coli-SC20_ST59_contigs,A01805,SC20_ST59,24211_7_5,KL82_K1-K92-like,>5000bp,O1,Hneg,,1
21989_6_12_clean_Escherichia_coli-SC2_ST131_contigs,A01805,SC2_ST131,21989_6_12,KL6_K5,>5000bp,O25,Hneg,C1,1
24211_7_13_clean_Escherichia_coli-SC6_ST69_contigs,A01812,SC6_ST69,24211_7_13,KL36_K54-K96,<5000bp,O15,H18,,1
24211_7_13_clean_Escherichia_coli-SC96_ST4038_contigs,A01812,SC96_ST4038,24211_7_13,KL26_K3,>5000bp,O15,H18,,1
21989_6_16_clean_Escherichia_coli-SC33_ST357_contigs,A01862,SC33_ST357,21989_6_16,KL8A1_K1,>5000bp,O129,H4,,1
21989_6_19_clean_Escherichia_coli-SC132_ST2015_contigs,A01866,SC132_ST2015,21989_6_19,KL140_K7-like,>5000bp,O2,H14,,1
24211_7_6_clean_Escherichia_coli-SC6_ST69_contigs,A01910,SC6_ST69,24211_7_6,KL189_K52-like,>5000bp,O117,H4,,1
21989_6_23_clean_Escherichia_coli-SC133_ST1434_contigs,A01921,SC133_ST1434,21989_6_23,KL55,<5000bp,O18ab,H14,,1
24211_7_4_clean_Escherichia_coli-SC22_ST398_contigs,A01921,SC22_ST398,24211_7_4,Untypeable,Both,O159,H21,,1
24211_7_4_clean_Escherichia_coli-SC4_ST10_contigs,A01921,SC4_ST10,24211_7_4,Untypeable,Both,O159,H21,,1
24211_7_4_clean_Escherichia_coli-SC6_ST69_contigs,A01921,SC6_ST69,24211_7_4,Untypeable,Both,O159,H21,,1
24469_5_24_clean_Escherichia_coli-SC16_ST38_contigs,A01963,SC16_ST38,24469_5_24,KL114_K2-like,>5000bp,O10,H25,,1
23584_5_17_clean_Escherichia_coli-SC4_ST10_contigs,A01963,SC4_ST10,23584_5_17,KL6_K5,<5000bp,O16,H4,,1
24469_5_24_clean_Escherichia_coli-SC65_ST399_contigs,A01963,SC65_ST399,24469_5_24,KL114_K2-like,<5000bp,O10,H25,,1
24211_7_20_clean_Escherichia_coli-SC11_ST127_contigs,A01966,SC11_ST127,24211_7_20,KL137_K14-like,>5000bp,O6,H31,,1
25076_3_11_clean_Escherichia_coli-SC17_ST58_contigs,A01970,SC17_ST58,25076_3_11,Untypeable,Both,O8,Hneg,,1
37081_3_10_clean_Escherichia_coli-SC229_ST401_contigs,A02022,SC229_ST401,37081_3_10,Untypeable,Both,O7,H21/H35,,1
37081_3_3_clean_Escherichia_coli-SC60_ST420_contigs,A02050,SC60_ST420,37081_3_3,KL8A1_K1,>5000bp,O134,H31,,1
22178_3_8_clean_Escherichia_coli-SC18_ST141_contigs,A02053,SC18_ST141,22178_3_8,KL8A1_K1,>5000bp,O2,H6,,1
22178_3_17_clean_Escherichia_coli-SC20_ST59_contigs,A02064,SC20_ST59,22178_3_17,KL8A1_K1,>5000bp,O1,H7,,1
25076_5_14_clean_Escherichia_coli-SC24_ST443_contigs,A02064,SC24_ST443,25076_5_14,Untypeable,Both,O26,H11,,1
25076_5_14_clean_Escherichia_coli-SC43_ST206_contigs,A02064,SC43_ST206,25076_5_14,Untypeable,Both,O26,H11,,1
25076_5_14_clean_Escherichia_coli-SC46_ST746_contigs,A02064,SC46_ST746,25076_5_14,Untypeable,Both,O26,H11,,1
25076_5_14_clean_Escherichia_coli-SC4_ST10_contigs,A02064,SC4_ST10,25076_5_14,Untypeable,Both,O26,H11,,1
25076_5_14_clean_Escherichia_coli-SC7_ST21_contigs,A02064,SC7_ST21,25076_5_14,Untypeable,Both,O26,H11,,1
24211_7_17_clean_Escherichia_coli-SC20_ST59_contigs,A02080,SC20_ST59,24211_7_17,KL8A1_K1,<5000bp,O1,H7,,1
22178_3_20_clean_Escherichia_coli-SC54_ST538_contigs,A02096,SC54_ST538,22178_3_20,KL8A2_K92,>5000bp,O129,H4,,1
24469_2_13_clean_Escherichia_coli-SC18_ST141_contigs,A02100,SC18_ST141,24469_2_13,KL8A1_K1,>5000bp,Oneg,H6,,1
24469_5_23_clean_Escherichia_coli-SC22_ST398_contigs,A02110,SC22_ST398,24469_5_23,Untypeable,Both,O20,H4,,1
24469_5_23_clean_Escherichia_coli-SC28_ST101_contigs,A02110,SC28_ST101,24469_5_23,Untypeable,Both,O20,H4,,1
24469_5_23_clean_Escherichia_coli-SC2_ST131_contigs,A02110,SC2_ST131,24469_5_23,Untypeable,Both,O20,H4,B,1
22178_4_3_clean_Escherichia_coli-SC4_ST10_contigs,A02110,SC4_ST10,22178_4_3,Untypeable,Both,O117,H25,,1
22178_4_3_clean_Escherichia_coli-SC65_ST399_contigs,A02110,SC65_ST399,22178_4_3,Untypeable,Both,O117,H25,,1
22178_4_5_clean_Escherichia_coli-SC66_ST135_contigs,A02133,SC66_ST135,22178_4_5,KL35,>5000bp,O2,H1,,1
24469_1_5_clean_Escherichia_coli-SC145_ST1170_contigs,A02138,SC145_ST1170,24469_1_5,KL42,>5000bp,O117,Hneg,,1
22178_4_10_clean_Escherichia_coli-SC6_ST69_contigs,A02138,SC6_ST69,22178_4_10,KL189_K52-like,>5000bp,O117,H4,,1
24469_1_8_clean_Escherichia_coli-SC12_ST410_contigs,A02146,SC12_ST410,24469_1_8,Untypeable,Both,O18,H1,,1
24469_1_8_clean_Escherichia_coli-SC27_ST328_contigs,A02146,SC27_ST328,24469_1_8,Untypeable,Both,O18,H1,,1
22178_4_11_clean_Escherichia_coli-SC30_ST372_contigs,A02146,SC30_ST372,22178_4_11,Untypeable,Both,O117,H28,,1
24469_1_8_clean_Escherichia_coli-SC3_ST73_contigs,A02146,SC3_ST73,24469_1_8,KL6_K5,>5000bp,O18,H1,,1
24759_5_9_clean_Escherichia_coli-SC104_ST212_contigs,A02177,SC104_ST212,24759_5_9,Untypeable,Both,O18,H49,,1
24759_5_9_clean_Escherichia_coli-SC91_ST345_contigs,A02177,SC91_ST345,24759_5_9,Untypeable,Both,O18,H49,,1
24469_5_13_clean_Escherichia_coli-SC2_ST131_contigs,A02193,SC2_ST131,24469_5_13,KL2_K100,>5000bp,O16,H5,A,1
24469_1_3_clean_Escherichia_coli-SC6_ST69_contigs,A02193,SC6_ST69,24469_1_3,KL99,>5000bp,O17,H18,,1
24759_5_7_clean_Escherichia_coli-SC159_ST1851_contigs,A02222,SC159_ST1851,24759_5_7,KL30,>5000bp,O19,H4,,1
37273_4_14_clean_Escherichia_coli-SC11_ST127_contigs,A02442,SC11_ST127,37273_4_14,KL28_K53,>5000bp,O6,H31,,1
37273_4_8_clean_Escherichia_coli-SC2_ST131_contigs,A02464,SC2_ST131,37273_4_8,KL6_K5,>5000bp,O153-like,H4,B,1
25076_6_12_clean_Escherichia_coli-SC48_ST136_contigs,A02598,SC48_ST136,25076_6_12,Untypeable,Both,O2,H7,,1
25076_6_12_clean_Escherichia_coli-SC5_ST95_contigs,A02598,SC5_ST95,25076_6_12,KL8A1_K1,>5000bp,O2,H7,,1
25013_1_8_clean_Escherichia_coli-SC5_ST95_contigs,A02599,SC5_ST95,25013_1_8,KL8A1_K1,>5000bp,O1,H7,,1
25013_1_23_clean_Escherichia_coli-SC40_ST28_contigs,A02600,SC40_ST28,25013_1_23,Untypeable,Both,O108-like/O108var1,H6,,1
37081_4_7_clean_Escherichia_coli-SC5_ST95_contigs,A02645,SC5_ST95,37081_4_7,KL8A1_K1,>5000bp,O1,H7,,1
37081_4_7_clean_Escherichia_coli-SC6_ST69_contigs,A02645,SC6_ST69,37081_4_7,KL99,>5000bp,O1,H7,,1
25076_6_3_clean_Escherichia_coli-SC16_ST38_contigs,A02646,SC16_ST38,25076_6_3,Untypeable,Both,O153-like,H9,,1
25076_6_3_clean_Escherichia_coli-SC6_ST69_contigs,A02646,SC6_ST69,25076_6_3,KL99,>5000bp,O153-like,H9,,1
37081_4_13_clean_Escherichia_coli-SC69_ST349_contigs,A02715,SC69_ST349,37081_4_13,KL8A1_K1,>5000bp,O86,H2,,1
37081_4_20_clean_Escherichia_coli-SC2_ST131_contigs,A02742,SC2_ST131,37081_4_20,KL126_K14-like,>5000bp,O25,H4,C2,1
23584_4_20_clean_Escherichia_coli-SC2_ST131_contigs,A02767,SC2_ST131,23584_4_20,KL2_K100,>5000bp,O16,H5,A,1
25076_5_24_clean_Escherichia_coli-SC8_ST1193_contigs,A02819,SC8_ST1193,25076_5_24,KL6_K5,>5000bp,O75,H5,,1
37273_5_14_clean_Escherichia_coli-SC11_ST127_contigs,A02865,SC11_ST127,37273_5_14,KL137_K14-like,>5000bp,O6,H31,,1
23430_8_21_clean_Escherichia_coli-SC156_ST52_contigs,A02872,SC156_ST52,23430_8_21,KL8A1_K1,>5000bp,O1,H6,,1
23430_8_21_clean_Escherichia_coli-SC15_ST648_contigs,A02872,SC15_ST648,23430_8_21,KL7,>5000bp,O1,H6,,1
25076_6_9_clean_Escherichia_coli-SC162_ST108_contigs,A02872,SC162_ST108,25076_6_9,KL86_K12,>5000bp,O129,H15,,1
23430_8_21_clean_Escherichia_coli-SC2_ST131_contigs,A02872,SC2_ST131,23430_8_21,KL6_K5,>5000bp,O1,H6,C1,1
25076_3_1_clean_Escherichia_coli-SC13_ST442_contigs,A02886,SC13_ST442,25076_3_1,Untypeable,Both,Onovel5,Hneg,,1
25076_3_1_clean_Escherichia_coli-SC24_ST443_contigs,A02886,SC24_ST443,25076_3_1,Untypeable,Both,Onovel5,Hneg,,1
25076_3_1_clean_Escherichia_coli-SC28_ST101_contigs,A02886,SC28_ST101,25076_3_1,Untypeable,Both,Onovel5,Hneg,,1
25076_6_11_clean_Escherichia_coli-SC4_ST10_contigs,A02886,SC4_ST10,25076_6_11,Untypeable,Both,Oneg,Hneg,,1
25076_3_1_clean_Escherichia_coli-SC87_ST937_contigs,A02886,SC87_ST937,25076_3_1,Untypeable,Both,Onovel5,Hneg,,1
37273_5_18_clean_Escherichia_coli-SC149_ST224_contigs,A02911,SC149_ST224,37273_5_18,Untypeable,Both,O91,Hneg,,1
37273_5_18_clean_Escherichia_coli-SC45_ST297_contigs,A02911,SC45_ST297,37273_5_18,Untypeable,Both,O91,Hneg,,1
37273_5_18_clean_Escherichia_coli-SC58_ST2773_contigs,A02911,SC58_ST2773,37273_5_18,Untypeable,Both,O91,Hneg,,1
25076_7_1_clean_Escherichia_coli-SC77_ST409_contigs,A02913,SC77_ST409,25076_7_1,Untypeable,Both,O75,H38/H55,,1
25076_7_5_clean_Escherichia_coli-SC5_ST95_contigs,A03001,SC5_ST95,25076_7_5,KL8A1_K1,<5000bp,Oneg,Hneg,,1
37081_5_20_clean_Escherichia_coli-SC8_ST1193_contigs,A03003,SC8_ST1193,37081_5_20,KL6_K5,<5000bp,O75,Hneg,,1
25013_2_18_clean_Escherichia_coli-SC5_ST95_contigs,A03026,SC5_ST95,25013_2_18,KL8A1_K1,>5000bp,O1,Hneg,,1
37082_7_10_clean_Escherichia_coli-SC66_ST135_contigs,A03179,SC66_ST135,37082_7_10,KL35,>5000bp,O2,H1,,1
37081_8_32_clean_Escherichia_coli-SC2_ST131_contigs,A03309,SC2_ST131,37081_8_32,KL47_K16,>5000bp,O25,H4,B,1
37081_8_32_clean_Escherichia_coli-SC4_ST10_contigs,A03309,SC4_ST10,37081_8_32,Untypeable,Both,O25,H4,,1
37082_6_4_clean_Escherichia_coli-SC22_ST398_contigs,A03368,SC22_ST398,37082_6_4,Untypeable,Both,O129,H4,,1
37082_6_4_clean_Escherichia_coli-SC54_ST538_contigs,A03368,SC54_ST538,37082_6_4,KL8A2_K92,>5000bp,O129,H4,,1
37081_7_22_clean_Escherichia_coli-SC2_ST131_contigs,A03374,SC2_ST131,37081_7_22,KL6_K5,>5000bp,O25,H4,C1,1
20596_4_5_clean_Escherichia_coli-SC5_ST95_contigs,B00002,SC5_ST95,20596_4_5,KL8A1_K1,>5000bp,O1,H7,,1
20596_4_7_clean_Escherichia_coli-SC65_ST399_contigs,B00004,SC65_ST399,20596_4_7,Untypeable,Both,O125,H25,,1
